clubname,avg,drivers,0.01,0.05,0.25,0.5,0.75,0.95,0.99,1,cum_drivers,perc_drivers
Africa/South Africa,2824.7850000000003,95,710.7,879.6,1303,1607,2128,3419.8,5545.180000000003,7005,0.00389248545439646,0.00389248545439646
Asia,2919.7274999999995,304,495.14,858.7,1380.5,1694,2255,3593.699999999999,5449.779999999999,7631,0.016348438908465133,0.012455953454068672
Atlantic,2275.4749999999995,140,499.8,673,1080,1527,2009,2951,4129.9999999999945,5334,0.022084733262312545,0.005736294353847414
Australia/NZ,3028.5875000000005,1830,423.70000000000005,711.75,1209,1559,2015.25,3396.25,5083.750000000004,9830,0.09706629517331804,0.0749815619110055
Benelux,3121.0625,1433,625.5,942.5,1395.5,1783,2261.5,3745,5571.5,8644,0.15578136523805622,0.05871507006473818
Brazil,3143.6875,647,652.5,907.5,1360,1796,2503,4274.5,6035,7621,0.18229123985905105,0.026509874620994838
California Club,2853.346250000001,592,360,559.65,1150.5,1480,1916,3085.35,5121.2700000000095,9154,0.20654757026960582,0.02425633041055478
Canada,2559.425,990,470.8,737,1206,1502,1884,3046,5129.600000000001,6500,0.24711136605752684,0.040563795787921006
Carolina,2458.4024999999992,343,330.6,581.7,1083,1450,1802,2677.9999999999986,4610.919999999994,7131,0.261165287224453,0.014053921166926166
Central-Eastern Europe,3333.0499999999993,911,542.8000000000001,918,1459,1848,2451,4512,6474.599999999996,8459,0.2984921740555601,0.0373268868311071
DE-AT-CH,3414.602499999999,3278,672.11,987,1446.75,1848,2425,4174.799999999999,6553.159999999994,9210,0.4328034089977874,0.13431123494222733
Finland,3216.8187499999985,383,759.65,993.25,1526.25,1962.5,2564.25,4368.75,6155.899999999987,7404,0.44849627140867,0.01569286241088257
Florida,2589.8050000000003,438,436.55999999999995,683.1,1145,1487,1869,3014.7999999999993,4982.980000000001,7100,0.4664426780299926,0.017946406621322627
France,3277.274999999999,1274,642.72,977.6,1416,1818,2354,3837.3999999999996,6041.479999999994,9131,0.51864295665000415,0.052200278620011475
Georgia,2323.52375,162,306.83,600,1014.75,1359.5,1728.25,2666.2499999999995,4681.610000000001,6231,0.5252806686880276,0.0066377120380234364
Great Plains,1846.625,210,451.16999999999996,555.8,1084.5,1381,1665.75,2241.55,3617.23,3776,0.5338851102187987,0.008604441530771122
Hispanoamérica,3456.331250000001,714,695.45,1026.75,1510,1937.5,2575.5,4618.5,6964.95000000001,8322,0.5631402114234205,0.029255101204621815
Iberia,3295.0824999999995,2570,664.02,1013.9000000000001,1442,1801,2336,3955.399999999998,6037.3399999999965,9111,0.6684421863476194,0.10530197492419897
Illinois,2492.6299999999997,195,435.44,826.3000000000001,1119.5,1433,1809.5,3120.899999999996,4939.4000000000015,6257,0.6764320249119069,0.00798983856428747
Indiana,2277.96875,176,358,568.5,1061.75,1359.5,1660,2848.5,3229.5,7138,0.6836433663853151,0.0072113414734081786
International Club,3296.57375,371,714.63,912.3,1399.25,1808,2379.25,4145.249999999999,6109.910000000002,8904,0.6988445464230107,0.015201180037695649
Italy,3336.2412500000014,588,567.32,1000.5,1519.75,1922,2597,4174.399999999995,6659.960000000015,8249,0.7229369827091698,0.02409243628615914
Japan,2991.1074999999996,251,670.73,933,1392,1774,2181.5,3406.5499999999993,5388.079999999999,8183,0.7332213390149963,0.010284356305826437
Mexico,2183.66875,110,538.66,760.6,1166.5,1500.5,1879.75,3269.3999999999996,4025.9399999999996,4328,0.7377284274358764,0.004507088420880111
Michigan,2262.95,194,495.76,694.8,1133.5,1418,1857,2618.899999999999,3938.640000000001,5947,0.745677292469065,0.00794886503318856
Mid-South,2019.2949999999998,317,293.16,574.8,1004,1333,1700,2540.3999999999987,3396,5313,0.7586659018274194,0.012988609358354502
Midwest,2192.13,277,346.32,642.4000000000001,1082,1401,1787,2938.3999999999987,4156.920000000002,5183,0.7700155699418176,0.011349668114398099
New England,2516.6699999999996,305,460.64,688.4000000000001,1134,1438,1765,3200.2000000000007,5042.119999999995,6405,0.7825124969269852,0.012496926985167581
New Jersey,2217.825000000001,146,482.15,701.25,1060.5,1421,1840,2774,4496.700000000008,4967,0.788494632467426,0.005982135540440876
New York,2610.8699999999994,287,451.56,708,1164,1443,1865,3128.999999999999,5040.399999999997,7086,0.8002540358928133,0.0117594034253872
Northwest,2384.574999999999,261,470.4,635,1142,1431,1827,2794,4373.199999999991,6404,0.8109481275096287,0.010694091616815537
Ohio,2348.6499999999996,243,494.6,704.8,1156,1533,1850,2996.3999999999987,3865.4,6189,0.8209046955666639,0.009956568057035155
Pennsylvania,1870.62,254,276.72,579.4,1031,1380,1762,2545.2,3347.6399999999994,4043,0.8313119724657871,0.010407276899123167
Scandinavia,3291.508749999999,744,720.16,926,1381.75,1771.5,2246.75,4067.649999999999,5800.259999999993,9418,0.8617962796033762,0.030484307137589116
Texas,2522.7687499999997,334,412.45000000000005,672.25,1153,1511,1913,3137.75,4256.699999999997,7126,0.8754814389904122,0.013685159387035975
UK and I,3103.199999999998,2469,607.2,921,1361,1711,2202,3665,5606.399999999985,8752,0.9766450872736212,0.10116364828320905
Virginias,2217.6349999999993,197,347.28,661.8000000000001,1122,1421,1805,2714.399999999999,4225.599999999995,5444,0.9847168729001066,0.00807178562648529
West,2384.4699999999993,373,492.87,683.1,1118,1438.5,1823.5,2850.7999999999993,3626.9899999999957,7042,1,0.015283127099893469
